OBJECTID,ZIPCODE,SHAPEAREA,SHAPELEN
1,40203,86089962.2570039,76402.5846553515
2,40210,88252436.3631687,58504.6516742492
3,40059,334263239.909976,102937.55782175
4,40220,215063039.104923,85234.9047210928
5,40041,3513355.23617188,8445.22231022374
6,40047,18967464.0638773,34240.5518085345
7,40242,8403457.03363594,13857.9025146187
8,40211,188193482.891579,85713.7168406495
9,40215,90793033.5431055,65631.6445560349
10,40205,205103572.962389,78836.120609406
11,40218,237931868.265359,127401.232669597
12,40222,316295701.753186,169049.790759763
13,40223,359129633.517212,147632.85306853
14,40067,9555427.20011953,22478.4061523724
15,40177,31872376.2242453,33235.4364775986
16,40212,119677381.468007,58372.694542832
17,40214,423044666.915724,150445.26202486
18,40299,1458310107.50311,252695.711857929
19,40242,70660436.3858469,68292.8237078762
20,40245,675777663.692262,166454.804216408
21,40243,109592853.311076,74821.4106452003
22,40025,10097923.6237414,21818.7797793921
23,40109,1524058.55440625,5122.32655644422
24,40241,331424010.587353,136254.58838216
25,40206,167092810.191313,70477.1390136191
26,40219,433645079.607837,170729.610132633
27,40258,325935051.200329,113748.160077675
28,40213,257801497.395546,137163.13000584
29,40204,79289437.7196726,44399.6925117762
30,40208,74085486.0543117,58624.3045742068
31,40216,465106664.786707,146416.696870509
32,40118,417708000.663134,115531.134167913
33,40202,42545186.4730313,40826.2314792871
34,40217,71018848.0110844,39510.9179697309
35,40207,326781573.857614,100761.865365684
36,40225,33075937.9819438,25277.6200487706
37,40229,366767230.777284,123519.691159903
38,40023,417856865.913418,128096.595426738
39,40272,890717341.38977,175206.724502627
40,40209,123589753.628901,68692.3127030754
41,40228,209616265.723391,178814.592794999
42,40291,680723343.116582,205256.090380695
